repository,file_path,language,extension,loc,size_bytes
pytest,testing\python\show_fixtures_per_test.py,Python,.py,286,9957
pytest,testing\_py\test_local.py,Python,.py,1318,54212
fastapi,docs\en\docs\css\custom.css,CSS,.css,482,14142
fastapi,docs\en\docs\css\termynal.css,CSS,.css,104,2568
fastapi,docs\en\docs\js\custom.js,JavaScript,.js,237,9534
fastapi,docs\en\docs\js\init_kapa_widget.js,JavaScript,.js,29,2362
fastapi,docs\en\docs\js\termynal.js,JavaScript,.js,237,9766
fastapi,docs\en\overrides\main.html,HTML,.html,95,3716
fastapi,docs\en\overrides\partials\banner-sponsors.html,HTML,.html,48,3403
fastapi,docs\en\overrides\partials\conf-rail.html,HTML,.html,7,574
fastapi,docs\en\overrides\partials\copyright.html,HTML,.html,11,426
fastapi,docs_src\additional_responses\tutorial001_py310.py,Python,.py,14,528
fastapi,docs_src\additional_responses\tutorial002_py310.py,Python,.py,22,624
fastapi,docs_src\additional_responses\tutorial003_py310.py,Python,.py,29,874
fastapi,docs_src\additional_responses\tutorial004_py310.py,Python,.py,22,699
fastapi,docs_src\additional_responses\__init__.py,Python,.py,0,0
fastapi,docs_src\additional_status_codes\tutorial001_an_py310.py,Python,.py,20,711
